pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_logg,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_vmag,sy_kmag,sy_gaiamag
PDS 70 b,PDS 70,1,2,43500,30.488,2.72,1204,K7,3972,1.26,0.76,3.68,14h08m10.11s,212.0421402,-41d23m52.95s,-41.3980405,113.064,0.523,12.032,8.542,11.5848
PDS 70 c,PDS 70,1,2,,22.866,2.04,995,K7,3972,1.06,0.76,3.68,14h08m10.11s,212.0421402,-41d23m52.95s,-41.3980405,113.064,0.523,12.032,8.542,11.5848
PZ Tel b,PZ Tel,1,1,44000,11.9,1.07,,G9 IV,5169,1.26,1.36,4.18,18h53m05.90s,283.2745823,-50d10m51.22s,-50.1808952,47.0648,0.1347,8.43,6.366,8.09894
ROXs 12 b,ROXs 12,2,1,,12.2,1.09,,M0,3850,1.07,0.87,4.07,16h26m28.03s,246.6167993,-25d26m48.10s,-25.446695,136.65,0.788,14.763,9.099,13.2655
ROXs 42 B b,ROXs 42 B,2,1,,12.5,1.12,1975,M0,3433,1.34,1,,16h31m15.01s,247.8125493,-24d32m44.08s,-24.545577,143.59,1.542,14.661,8.671,13.1164
Ross 458 c,Ross 458,2,1,,14.011,1.25,,M2,3965.42,0.56,0.56,4.68,13h00m45.89s,195.1912147,+12d22m32.16s,12.3755996,11.5094,0.02025,9.76,5.578,8.90809
SR 12 AB c,SR 12 AB,2,1,,12.3,1.1,,,3828.93,1.1,,,16h27m19.50s,246.8312363,-24d41m40.81s,-24.6946687,112.3172158,5.4094838,13.355,8.408,12.1811
TYC 8998-760-1 b,TYC 8998-760-1,1,2,,12.3,1.1,,K3 IV,4573,0.95,1,4.29,13h25m12.03s,201.3001096,-64d56m20.96s,-64.9391566,94.6177,0.2844,11.124,8.392,10.6505
TYC 8998-760-1 c,TYC 8998-760-1,1,2,,12.33,1.1,1240,K3 IV,4573,0.95,1,4.29,13h25m12.03s,201.3001096,-64d56m20.96s,-64.9391566,94.6177,0.2844,11.124,8.392,10.6505
UCAC3 113-933 b,UCAC3 113-933,1,1,,12.1,1.08,,M0,3864,0.56,0.61,4.68,00h21m06.19s,5.2758121,-33d48m11.40s,-33.8031679,52.5829,0.10905,12.501,8.866,11.8242
UCAC4 328-061594 b,UCAC4 328-061594,1,1,,12.1,1.08,,DC,,,1.19,,10h10m47.79s,152.6991091,-24d27m11.76s,-24.4532674,39.9089,0.1004,15.689,15.79,15.212
USco CTIO 108 b,USco CTIO 108,1,1,,12.3,1.1,,M7,2700,0.35,0.06,4.88,16h05m54.06s,241.4752653,-18d18m44.70s,-18.3124167,144.019,5.219,,12.507,17.4229
USco1556 b,USco1556 A,1,1,,12.3,1.09,2240,M3.0 V,3410,0.67,0.33,4.59,15h56m24.89s,239.1037198,-25d41m20.57s,-25.6890476,140.635,1.667,15.36,10.441,14.3099
USco1621 b,USco1621 A,1,1,,12.2,1.09,2270,M2.5 V,3460,0.71,0.36,4.25,16h21m29.54s,245.3730855,-25d29m43.54s,-25.4954265,137.901,0.973,15.543,10.193,14.1769
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,2,1,5800000,13.675,1.22,1194,M7.5,2620,,0.07,5.05,12h56m02.15s,194.008964,-12d57m21.71s,-12.956031,12.7,1,17.73,10.044,
WD 0806-661 b,WD 0806-661,1,1,,12.6,1.12,340,DQ,9552,,0.62,,08h06m54.62s,121.7275683,-66d18m21.18s,-66.3058835,19.2444,0.0073,13.855,13.781,13.6826
WISE J033605.05-014350.4 b,WISE J033605.05-014350.4,1,1,2560,12.6,1.12,325,,415,,0.01,,03h36m05.05s,54.0210417,-01d43m50.5s,-1.7306944,,,,,
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,1,1,,10.468,0.934,450,T8.5,575,0.09,0.03,5,12h17m56.91s,184.487125,+16d26m40.2s,16.4445,10.1,1.9,,,
YSES 2 b,YSES 2,1,1,,12.7,1.14,,K1 V,4749,1.19,1.1,4.25,11h27m55.27s,171.9802779,-66d26m04.46s,-66.4345736,109.406,0.374,10.885,8.358,10.5352
b Cen AB b,b Cen A,2,1,1790000,12.4,1.11,,B2.5 V,,,5.5,,14h41m57.55s,220.4897992,-37d47m37.08s,-37.7936323,98.0935,6.7875,4.01,4.487,4.01093
bet Pic b,bet Pic,1,2,8617.50952,18.495,1.65,1612,A5V,8038.68,1.54,1.8,4.35,05h47m17.10s,86.8212337,-51d03m58.13s,-51.066148,19.7442,0.132,3.85,3.526,3.82015
kap And b,kap And,1,1,,12.3,1.1,1900,B9 IV,10900,2.31,2.6,3.78,23h40m24.62s,355.1025974,+44d20m01.86s,44.3338511,50.0177,0.8766,4.13791,4.571,4.13478
mu2 Sco b,mu2 Sco,1,1,,12.3,1.09,,B2 IV,21700,5.6,9.1,3.8,16h52m20.13s,253.0838724,-38d01m03.48s,-38.0176339,,,3.56,4.292,3.53617
